GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
311,107,3,2,2,9.02,0,0.7197787
274,106,2,2.4,1.1,6.05,1,0.47859192
331,117,1,1.3,1.4,8.93,0,0.7645479
320,88,3,2.7,2.5,6.69,0,0.48293287
280,94,4,1.9,3.8,6.09,1,0.5794118
334,113,5,3.6,3.5,8.14,0,0.79464406
334,104,2,2.6,3.7,6.14,1,0.6860142
283,80,4,3.7,1.6,6.77,0,0.42989883
262,90,4,3.6,2.9,8.16,1,0.6503014
281,94,2,5,1.3,6.56,1,0.532007
312,105,4,3.3,4.5,7.09,0,0.65675735
261,117,1,3.4,2.2,7.18,1,0.6009203
289,112,2,4.7,1.6,6.94,1,0.5381322
297,114,5,4.3,3.8,6.39,0,0.7188512
261,106,2,2,3.6,8.91,1,0.69455576
323,91,1,4.3,1.9,6.4,0,0.5012308
319,99,2,1.6,1.3,6.11,0,0.55503696
280,91,3,4.6,2.3,7.96,0,0.5248575
292,116,1,3,2.2,7.72,1,0.59173614
335,85,4,1.9,3.3,6.25,1,0.70979726
317,99,3,2.1,2.8,8.78,0,0.673583
281,102,2,1.7,2.2,8.04,1,0.5897701
308,94,1,3,2.8,7.05,1,0.57302207
318,107,2,1.7,4.2,6.94,0,0.72940713
301,113,4,1.1,3.7,6.53,1,0.7329297
319,87,1,3.1,1.8,7.49,0,0.48338774
339,99,5,1.4,2.8,6.97,0,0.70500237
274,85,5,2.3,3.3,8.16,1,0.67503506
321,105,4,3.6,2,9.84,0,0.8210864
321,97,5,1.9,2.6,7.36,1,0.62808967
306,93,3,2.6,3.4,7,0,0.5374869
321,99,2,1.3,3.9,7.12,1,0.6245682
310,80,2,3.1,1.4,9.24,1,0.6624402
314,102,4,4.2,1.5,9.19,0,0.7299586
323,119,3,4.5,4.6,8.84,0,0.79929036
262,95,1,1.9,3.2,7.16,0,0.43690276
310,118,3,1.3,1.9,9.08,1,0.83726674
266,98,3,2.3,4,7.76,0,0.53207684
280,87,4,3.3,1.3,8.58,0,0.5583793
332,103,1,4.8,4.6,8.09,0,0.74249005
298,95,1,2.4,1.7,9.32,1,0.7236876
277,92,4,2,2.7,9.47,1,0.70205104
263,109,4,2.7,2.5,6.23,0,0.58653796
319,92,2,3.5,2.3,8.75,1,0.6827308
273,100,3,4.7,1.6,8.97,0,0.6958212
268,98,1,1.9,4.5,8.93,1,0.6761233
312,106,3,2.1,3,8.93,0,0.7511875
261,117,2,2.8,3.3,9.75,1,0.86107457
319,117,3,4.6,2.3,7.14,1,0.55376166
330,102,1,2.6,1.6,7.54,0,0.60192853
303,95,2,2.6,4.4,8.15,1,0.65049124
267,103,3,4.4,1.8,6.82,1,0.59114915
306,95,4,2,1.2,7.91,0,0.41421676
294,95,2,2.6,3.5,6.58,1,0.59334755
337,90,3,1.1,2.1,9.14,0,0.5973194
340,105,3,4.4,4,7.96,0,0.7185832
295,95,4,1.8,3.1,9.89,1,0.760849
309,120,5,4.9,2.3,9.26,1,0.91770226
263,94,5,1.2,2.2,6.84,1,0.67830515
261,97,5,3.7,1.9,6.14,1,0.66934866
265,119,1,3.9,1,7.25,0,0.64507365
313,97,2,3.6,2.6,8.38,0,0.6137639
263,114,5,1.5,1.3,9.21,0,0.7655226
313,84,4,4.1,3.9,6.99,0,0.6085293
322,81,2,3.2,2.8,8.42,0,0.5535115
277,109,4,3.4,3.1,6.96,0,0.5716868
303,110,1,2.4,4.8,9.67,0,0.8869184
293,104,4,2.7,4.1,6.14,0,0.6117893
333,110,1,1.3,1.8,6.21,1,0.6519934
321,98,4,5,3.4,6.37,1,0.6405607
273,113,2,1.8,4.1,6.09,1,0.54540205
307,97,5,1.5,3.2,6.18,1,0.58790606
274,118,2,1.8,4.3,7.6,0,0.63558304
331,112,5,4.9,3,7.31,1,0.6382821
337,82,3,4.7,1.1,9.6,0,0.60462016
321,97,2,1,2,9.16,0,0.6389047
299,115,5,2.6,4.4,9.9,1,0.9253235
339,105,5,4.3,2.2,6.5,1,0.60414743
312,107,2,5,3.6,6.34,1,0.6437157
283,111,1,4.2,1.5,8.54,1,0.70930505
285,116,5,3.7,2.4,8.48,0,0.72501695
319,86,2,4.5,1.4,7.14,1,0.57734567
300,107,3,4,2.7,7.37,1,0.62048894
288,111,5,4.2,2.7,7.5,0,0.6284778
274,120,1,2.1,1.2,8,1,0.67282605
304,115,4,3.6,2.4,8.7,1,0.7969698
324,101,5,4.5,2,7.2,1,0.6074641
330,88,2,3.1,1.4,6.76,0,0.4784922
268,96,2,4.6,1.8,8.5,0,0.60045713
260,89,5,4.7,2.1,7.19,1,0.68749523
267,106,1,3,3.2,6,0,0.50310963
322,96,4,2.2,3.8,8.41,1,0.7051269
270,111,2,1.2,2,8.76,0,0.7755347
340,90,2,4.2,2.7,9.24,1,0.76898855
267,104,3,3.1,1.9,6.66,0,0.5195325
294,96,2,4,2,6.81,0,0.48685026
294,106,5,1.6,3.3,8.61,0,0.6091333
292,94,2,4.2,2.9,9.85,1,0.77312905
264,84,3,1.5,2.2,8.59,0,0.51347595
300,92,5,3.2,1.9,8.06,0,0.49548173
287,85,5,4,2.5,8.83,0,0.5929684
266,99,2,1.6,2.7,6.95,1,0.56701267
332,82,4,3.4,3.6,8.49,0,0.61168176
331,107,1,4.9,4.9,8.87,0,0.8042976
271,82,3,1.2,2.2,7.42,1,0.7296828
293,112,3,1.1,2.2,7.05,0,0.6752486
292,81,1,1.9,1.3,6.27,1,0.59115297
307,116,3,3.7,3.9,7.67,1,0.6586486
282,108,5,3.3,4.3,7.49,0,0.617813
321,93,4,4.9,3.4,8.85,1,0.74228704
296,86,3,4.2,1.2,9.51,1,0.7233218
303,83,2,2.3,1.9,9.81,1,0.6812456
294,100,2,4.3,1.7,8.84,0,0.6576349
324,104,2,4.1,3.7,9.36,0,0.7914583
306,88,1,2.9,1.8,7.3,1,0.59782445
337,91,1,4.6,4,8.02,1,0.7139871
262,91,5,1.7,2.2,6.61,0,0.41642082
260,84,2,2.9,4.9,9.63,1,0.6898109
264,108,4,4.7,1.2,7.69,1,0.68963474
273,106,2,2.7,4,9.34,0,0.8058231
286,118,4,3.3,4.2,8.19,1,0.75259817
268,99,3,3.5,3.6,6.49,0,0.50953525
338,108,4,4.7,3.2,7.82,0,0.7311012
274,98,5,1.5,3.5,8.62,1,0.676772
301,115,3,1.7,2.2,6.47,1,0.6457354
336,112,2,3.2,2.6,9.78,0,0.8545765
310,87,1,1.8,1.9,6.74,0,0.4003812
322,109,4,3.3,2.2,9.79,1,0.90609795
311,113,3,2.9,4.5,7.53,1,0.6389762
263,110,1,4.4,1.9,9.17,0,0.77635604
282,80,2,3.7,4.4,6.04,1,0.640763
274,114,2,1.7,3.4,6.63,1,0.5343933
302,98,5,3.4,3.5,8.38,1,0.71062315
288,97,2,2.7,2.2,9.2,0,0.6870959
295,96,1,1.5,1.9,9.27,0,0.67244047
272,110,4,1.2,2.6,9.18,0,0.7946383
291,99,2,3.4,4.7,9.97,1,0.8016816
330,108,2,2.1,4.8,9.13,0,0.8230687
318,118,5,3.1,1.7,7.21,0,0.84543294
287,100,3,4.4,3.6,9.59,0,0.74528295
325,88,5,4.3,2.6,9.33,1,0.7651091
301,109,4,3.9,1.2,7.33,1,0.57325834
304,112,5,2.4,1.3,7.56,1,0.5973415
321,97,1,2.4,4,9.8,1,0.83137745
316,89,3,4.4,1,8.24,1,0.6447461
265,80,1,1.8,2.6,8.77,1,0.6527089
287,107,3,2.6,1.6,6.58,1,0.4968614
287,112,5,1.3,5,8.93,1,0.7844656
303,118,5,1.5,1.2,8.09,1,0.6742387
289,97,2,2.4,1.5,9.86,0,0.7461627
321,88,2,1.8,4.7,6.34,0,0.53088623
334,107,3,3.6,2.2,8.72,1,0.72857887
321,102,5,1.3,2.2,9.2,1,0.7875914
260,105,5,3.7,4.7,9.85,1,0.84942365
286,112,4,3.8,1.7,7.17,0,0.6257511
321,99,4,3.1,4.9,7.22,0,0.6870276
336,95,4,2.3,2.7,6.43,1,0.6864362
262,98,4,4.6,2.7,9.97,0,0.81817853
329,111,5,4.7,4.7,8.86,0,0.82817715
331,90,2,3.7,1.4,8.35,0,0.5453002
286,119,4,4.3,1.8,6.37,1,0.5214473
268,105,5,3.7,4.3,8.7,1,0.7570086
